patient_amka	first_name	last_name	Hosp_Year	Total_Days
60315535417	Κώστας	Οικονόμου	2025	17
77850278278	Ειρήνη	Παπαδάκη	2025	17
96332905779	Αντώνης	Παπαδάκης	2025	17
84651789599	Κατερίνα	Λάμπρου	2025	17
88294643088	Ειρήνη	Μητσοτάκη	2025	17
26797904066	Νικόλας	Πετρόπουλος	2025	16
25654219117	Όλγα	Σαββίδου	2025	16
67988924561	Παύλος	Σαμαράς	2025	16
58037531758	Αντώνης	Τσιπράς	2024	33
24202632615	Αλεξάνδρα	Βασιλείου	2024	33
95054352008	Νικολέτα	Μακρή	2024	32
80583050477	Παύλος	Πατέρας	2024	32
03454359465	Άννα	Φωτοπούλου	2024	30
29665442300	Χρυσούλα	Οικονόμου	2024	30
05618847956	Γρηγόρης	Σιδέρης	2024	27
58884872730	Μάνος	Παππάς	2024	27
59433941328	Ιωάννα	Πολίτη	2024	27
57782433657	Χάρης	Καραμανλής	2024	25
13555652024	Στέλιος	Στεφανίδης	2024	25
77850278278	Ειρήνη	Παπαδάκη	2024	25
39813452845	Παύλος	Βλάχος	2024	22
80589489579	Ελένη	Αλεξίου	2024	22
20442647715	Δημήτρης	Χατζηγεωργίου	2024	21
86990078416	Αναστασία	Μανωλά	2024	21
66220275167	Αναστασία	Λάμπρου	2024	20
59772986656	Άννα	Κωνσταντίνου	2024	20
12945342003	Ευάγγελος	Σαββίδης	2024	20
26797904066	Νικόλας	Πετρόπουλος	2024	20
39455075867	Χρυσούλα	Σπυροπούλου	2024	20
97294781465	Δήμητρα	Μαυρίδου	2024	20
49087988970	Ζωή	Δημητρίου	2024	19
90950312503	Μαρίνα	Καραβία	2024	19
43866599751	Στέφανος	Παπαδάκης	2024	19
94972997898	Θοδωρής	Μανωλάς	2024	19
63997840628	Γιώργος	Κωνσταντίνου	2024	18
64156944302	Δήμητρα	Σταυροπούλου	2024	18
05096444230	Τάσος	Βλάχος	2024	18
06084446182	Ελισάβετ	Αλεξίου	2024	18
77915883900	Ορέστης	Παπαδάκης	2024	17
97297319476	Λάζαρος	Λάμπρου	2024	17
86279124303	Λουκάς	Κουρής	2024	17
97893609074	Ελισάβετ	Παπανδρέου	2024	17
23131948402	Πόπη	Οικονόμου	2024	17
25032256614	Μιχάλης	Παπαδάκης	2024	17
88335577142	Παναγιώτα	Παπαϊωάννου	2024	17
87868910061	Θοδωρής	Παπανικολάου	2024	17
20623582337	Χριστίνα	Μακρή	2024	17
45092982866	Κώστας	Λάμπρου	2024	17
03631935084	Πόπη	Καραμπίνη	2024	17
84525046325	Δημήτρης	Σαμαράς	2024	17
28554649145	Χάρης	Λάμπρου	2024	16
67839063671	Μάνος	Καραμπίνης	2024	16
41234921606	Φανή	Σαββίδου	2024	16
36356131590	Λευτέρης	Δημητρίου	2024	16
80589489579	Ελένη	Αλεξίου	2023	38
63700270113	Παρασκευή	Σαμαρά	2023	38
46989264397	Ηλίας	Καραγιάννης	2023	38
60713844623	Ασημίνα	Παπαγεωργίου	2023	38
54141877678	Ειρήνη	Αλεξίου	2023	22
61944023575	Αλεξάνδρα	Λάμπρου	2023	22
87472681706	Βαρβάρα	Βασιλείου	2023	21
72285119537	Μάρκος	Μανωλάς	2023	21
49087988970	Ζωή	Δημητρίου	2023	20
90137764145	Πόπη	Βλάχου	2023	20
86522826244	Μάρκος	Τσιπράς	2023	20
74760200974	Γιάννης	Σταυρόπουλος	2023	20
96908296129	Ανδρέας	Ιωαννίδης	2023	19
58037531758	Αντώνης	Τσιπράς	2023	19
76979458808	Παναγιώτης	Σπυρόπουλος	2023	19
94972997898	Θοδωρής	Μανωλάς	2023	19
72950256042	Χαρά	Στεφανίδου	2023	19
37329912423	Γεωργία	Παπαντωνίου	2023	19
63848589410	Λάζαρος	Καραγιάννης	2023	18
43319323937	Πελαγία	Γεωργίου	2023	18
69181655535	Νικόλας	Παπαϊωάννου	2023	17
08318565085	Φωτεινή	Σαββίδου	2023	17
15487438175	Ειρήνη	Καραβία	2023	17
03631935084	Πόπη	Καραμπίνη	2023	17
97921213777	Φώτης	Κωνσταντίνου	2023	17
46713457282	Μάνος	Σταυρόπουλος	2023	17
97893609074	Ελισάβετ	Παπανδρέου	2023	16
17897974522	Σοφία	Μανωλά	2023	16
96478600439	Καλλιόπη	Πετροπούλου	2023	16
20321719356	Ευάγγελος	Αντωνίου	2023	16
30636838187	Αλέξανδρος	Νικολάου	2023	16
93762206851	Χρήστος	Σταυρόπουλος	2023	16
45092982866	Κώστας	Λάμπρου	2023	16
24244203288	Θανάσης	Αντωνίου	2023	16
44945344170	Χρήστος	Πατέρας	2023	16
