+----------------------------------+----------------------------------+-----------------+
| Doctor_LastName                  | Supervisor_LastName              | Hierarchy_Level |
| Καρράς                           | Νικολάου                         |               2 |
| Καρράς                           | Αναγνώστου                       |               2 |
| Καρράς                           | Παπαγεωργίου                     |               3 |
| Καρράς                           | Αντωνίου                         |               3 |
| Κουρή                            | Παπαγεωργίου                     |               1 |
| Κουρή                            | Σταυρόπουλος                     |               2 |
| Κουρής                           | Παππά                            |               1 |
| Κουρής                           | Παπακωνσταντίνου                 |               1 |
| Κουρής                           | Χατζηγεωργίου                    |               1 |
| Κουρής                           | Λάμπρου                          |               1 |
| Κουρής                           | Σπυρόπουλος                      |               2 |
| Κουρής                           | Παπαγεωργίου                     |               2 |
| Κουρής                           | Παπαδάκης                        |               2 |
| Κουρής                           | Βλάχου                           |               2 |
| Κουρής                           | Νικολάου                         |               3 |
| Κωνσταντίνου                     | Βλάχου                           |               1 |
| Κωνσταντίνου                     | Νικολάου                         |               1 |
| Κωνσταντίνου                     | Σιδέρης                          |               1 |
| Κωνσταντίνου                     | Αντωνίου                         |               1 |
| Κωνσταντίνου                     | Ιωαννίδης                        |               2 |
| Λάμπρου                          | Βλάχου                           |               1 |
| Λάμπρου                          | Καρρά                            |               1 |
| Λάμπρου                          | Αλεξίου                          |               1 |
| Λάμπρου                          | Καραγιάννης                      |               1 |
| Λάμπρου                          | Αντωνίου                         |               1 |
| Λάμπρου                          | Δημητρίου                        |               2 |
| Λάμπρου                          | Βασιλείου                        |               2 |
| Λάμπρου                          | Καραβία                          |               2 |
| Λάμπρου                          | Λάμπρου                          |               2 |
| Λάμπρου                          | Δημητρίου                        |               3 |
| Λάμπρου                          | Μαυρίδης                         |               3 |
| Μακρή                            | Βλάχου                           |               1 |
| Μακρή                            | Παπανικολάου                     |               1 |
| Μακρή                            | Καραμανλή                        |               2 |
| Μακρή                            | Δημόπουλος                       |               3 |
| Μακρής                           | Παπακωνσταντίνου                 |               1 |
| Μακρής                           | Χατζηγεωργίου                    |               1 |
| Μακρής                           | Στεφανίδου                       |               1 |
| Μακρής                           | Μαυρίδης                         |               1 |
| Μακρής                           | Αντωνίου                         |               2 |
| Μακρής                           | Παπαγεωργίου                     |               2 |
| Μακρής                           | Δημόπουλος                       |               2 |
| Μακρής                           | Ιωαννίδης                        |               3 |
| Μανωλά                           | Σαμαρά                           |               1 |
| Μανωλά                           | Παπαδόπουλος                     |               1 |
| Μανωλά                           | Δημόπουλος                       |               1 |
| Μανωλά                           | Αντωνίου                         |               2 |
| Μανωλά                           | Δημόπουλος                       |               2 |
| Μανωλά                           | Λάμπρου                          |               2 |
| Μανωλάς                          | Πετρόπουλος                      |               1 |
| Μανωλάς                          | Δημητρίου                        |               1 |
| Μανωλάς                          | Αναγνώστου                       |               2 |
| Μανωλάς                          | Νικολάου                         |               2 |
| Μανωλάς                          | Ιωαννίδης                        |               3 |
| Μαυρίδης                         | Ιωαννίδου                        |               1 |
| Μαυρίδης                         | Σπυρόπουλος                      |               2 |
| Μαυρίδου                         | Καραβίας                         |               1 |
| Μαυρίδου                         | Σιδέρης                          |               1 |
| Μαυρίδου                         | Καραβία                          |               1 |
| Μαυρίδου                         | Αντωνίου                         |               1 |
| Μαυρίδου                         | Αλεξίου                          |               1 |
| Μαυρίδου                         | Σπυρόπουλος                      |               1 |
| Μαυρίδου                         | Νικολάου                         |               2 |
| Μαυρίδου                         | Μαυρίδης                         |               2 |
| Μαυρίδου                         | Αντωνίου                         |               2 |
| Μαυρίδου                         | Νικολάου                         |               2 |
| Μαυρίδου                         | Τσιπράς                          |               2 |
| Μαυρίδου                         | Νικολάου                         |               3 |
| Μητσοτάκη                        | Δημόπουλος                       |               1 |
| Μητσοτάκη                        | Μακρής                           |               1 |
| Μητσοτάκη                        | Χατζηγεωργίου                    |               2 |
| Μητσοτάκη                        | Παπαγεωργίου                     |               3 |
| Μητσοτάκης                       | Καρρά                            |               1 |
| Μητσοτάκης                       | Αντωνίου                         |               1 |
| Μητσοτάκης                       | Παπανικολάου                     |               1 |
| Μητσοτάκης                       | Πολίτη                           |               1 |
| Μητσοτάκης                       | Βλάχου                           |               1 |
| Μητσοτάκης                       | Δημητρίου                        |               2 |
| Μητσοτάκης                       | Αντωνίου                         |               2 |
| Μητσοτάκης                       | Αντωνίου                         |               2 |
| Μητσοτάκης                       | Λάμπρου                          |               3 |
| Νικολάου                         | Σπυροπούλου                      |               1 |
| Νικολάου                         | Σιδέρης                          |               1 |
| Νικολάου                         | Παπανδρέου                       |               1 |
| Νικολάου                         | Σταυρόπουλος                     |               1 |
| Νικολάου                         | Παπανικολάου                     |               1 |
| Νικολάου                         | Μανωλά                           |               1 |
| Νικολάου                         | Παπαδάκη                         |               2 |
| Νικολάου                         | Νικολάου                         |               2 |
| Νικολάου                         | Κωνσταντίνου                     |               2 |
| Νικολάου                         | Κωνσταντίνου                     |               2 |
| Νικολάου                         | Αντωνίου                         |               2 |
| Νικολάου                         | Δημόπουλος                       |               2 |
| Νικολάου                         | Λάμπρου                          |               3 |
| Νικολάου                         | Νικολάου                         |               3 |
| Νικολάου                         | Ιωαννίδης                        |               3 |
| Νικολάου                         | Σιδέρης                          |               3 |
| Νικολάου                         | Νικολάου                         |               3 |
| Οικονόμου                        | Παπαγεωργίου                     |               1 |
| Οικονόμου                        | Καραμπίνης                       |               1 |
| Οικονόμου                        | Παπαδόπουλος                     |               1 |
| Οικονόμου                        | Βασιλείου                        |               1 |
| Οικονόμου                        | Χατζηγεωργίου                    |               1 |
| Οικονόμου                        | Παπαδοπούλου                     |               1 |
| Οικονόμου                        | Παπανικολάου                     |               1 |
| Οικονόμου                        | Δημόπουλος                       |               2 |
| Οικονόμου                        | Παπαγεωργίου                     |               2 |
| Οικονόμου                        | Δημητρίου                        |               2 |
| Οικονόμου                        | Δημητρίου                        |               2 |
| Οικονόμου                        | Σπυρόπουλος                      |               2 |
| Οικονόμου                        | Ιωαννίδου                        |               2 |
| Οικονόμου                        | Βλάχου                           |               2 |
| Οικονόμου                        | Σπυρόπουλος                      |               3 |
| Οικονόμου                        | Σπυρόπουλος                      |               3 |
| Παπαγεωργίου                     | Σπυρόπουλος                      |               1 |
| Παπαγεωργίου                     | Σταυρόπουλος                     |               1 |
| Παπαγεωργίου                     | Σιδέρης                          |               1 |
| Παπαγεωργίου                     | Δημόπουλος                       |               1 |
| Παπαγεωργίου                     | Παπακωνσταντίνου                 |               1 |
| Παπαγεωργίου                     | Σπυρόπουλος                      |               1 |
| Παπαγεωργίου                     | Βλάχου                           |               2 |
| Παπαγεωργίου                     | Σιδέρης                          |               2 |
| Παπαδάκη                         | Μητσοτάκης                       |               1 |
| Παπαδάκη                         | Ιωαννίδης                        |               1 |
| Παπαδάκη                         | Πολίτη                           |               2 |
| Παπαδάκης                        | Παππά                            |               1 |
| Παπαδάκης                        | Γεωργίου                         |               1 |
| Παπαδάκης                        | Νικολάου                         |               1 |
| Παπαδάκης                        | Παπανικολάου                     |               1 |
| Παπαδάκης                        | Παπαδόπουλος                     |               2 |
| Παπαδάκης                        | Πετρόπουλος                      |               2 |
| Παπαδάκης                        | Καραμανλή                        |               2 |
| Παπαδάκης                        | Δημόπουλος                       |               3 |
| Παπαδάκης                        | Δημητρίου                        |               3 |
| Παπαδάκης                        | Σταυρόπουλος                     |               3 |
| Παπαδόπουλος                     | Δημητρίου                        |               1 |
| Παπαδόπουλος                     | Καραβία                          |               1 |
| Παπαδόπουλος                     | Δημόπουλος                       |               1 |
| Παπαδόπουλος                     | Δημόπουλος                       |               1 |
| Παπαδόπουλος                     | Νικολάου                         |               1 |
| Παπαδόπουλος                     | Καραμπίνη                        |               1 |
| Παπαδόπουλος                     | Βλάχου                           |               2 |
| Παπαδόπουλος                     | Μαυρίδης                         |               2 |
| Παπαδοπούλου                     | Σπυροπούλου                      |               1 |
| Παπαδοπούλου                     | Ιωαννίδου                        |               1 |
| Παπαδοπούλου                     | Σιδέρης                          |               1 |
| Παπαδοπούλου                     | Σπυρόπουλος                      |               2 |
| Παπαδοπούλου                     | Νικολάου                         |               2 |
| Παπαδοπούλου                     | Παπαδάκη                         |               2 |
| Παπαδοπούλου                     | Ιωαννίδης                        |               3 |
| Παπαϊωάννου                      | Δημητρίου                        |               1 |
| Παπαϊωάννου                      | Ζαφειρόπουλος                    |               1 |
| Παπαϊωάννου                      | Ζαφειρόπουλος                    |               1 |
| Παπαϊωάννου                      | Μαυρίδης                         |               2 |
| Παπαϊωάννου                      | Δημητρίου                        |               2 |
| Παπαϊωάννου                      | Δημητρίου                        |               2 |
| Παπαϊωάννου                      | Μαυρίδης                         |               3 |
| Παπαϊωάννου                      | Μαυρίδης                         |               3 |
| Παπακωνσταντίνου                 | Σπυρόπουλος                      |               1 |
| Παπακωνσταντίνου                 | Παπαδόπουλος                     |               1 |
| Παπακωνσταντίνου                 | Νικολάου                         |               1 |
| Παπακωνσταντίνου                 | Σιδέρης                          |               1 |
| Παπακωνσταντίνου                 | Παπαγεωργίου                     |               1 |
| Παπακωνσταντίνου                 | Παπαδάκης                        |               1 |
| Παπακωνσταντίνου                 | Παπαγεωργίου                     |               1 |
| Παπακωνσταντίνου                 | Αντωνίου                         |               1 |
| Παπακωνσταντίνου                 | Δημόπουλος                       |               2 |
| Παπακωνσταντίνου                 | Σπυρόπουλος                      |               2 |
| Παπακωνσταντίνου                 | Νικολάου                         |               2 |
| Παπακωνσταντίνου                 | Ιωαννίδης                        |               2 |
| Παπανδρέου                       | Παπαδάκη                         |               1 |
| Παπανδρέου                       | Σιδέρη                           |               1 |
| Παπανδρέου                       | Βλάχου                           |               1 |
| Παπανδρέου                       | Λάμπρου                          |               1 |
| Παπανδρέου                       | Δημόπουλος                       |               1 |
| Παπανδρέου                       | Βασιλείου                        |               1 |
| Παπανδρέου                       | Χατζηγεωργίου                    |               1 |
| Παπανδρέου                       | Σιδέρης                          |               1 |
| Παπανδρέου                       | Καραμπίνης                       |               1 |
| Παπανδρέου                       | Κωνσταντίνου                     |               1 |
| Παπανδρέου                       | Χατζηγεωργίου                    |               2 |
| Παπανδρέου                       | Μαυρίδης                         |               2 |
| Παπανδρέου                       | Καρρά                            |               2 |
| Παπανδρέου                       | Δημητρίου                        |               2 |
| Παπανδρέου                       | Παπαδάκης                        |               2 |
| Παπανδρέου                       | Αλεξίου                          |               2 |
| Παπανδρέου                       | Νικολάου                         |               2 |
| Παπανδρέου                       | Μητσοτάκης                       |               2 |
| Παπανδρέου                       | Πολίτη                           |               3 |
| Παπανδρέου                       | Νικολάου                         |               3 |
| Παπανδρέου                       | Αντωνίου                         |               3 |
| Παπανδρέου                       | Νικολάου                         |               3 |
| Παπανδρέου                       | Δημητρίου                        |               3 |
| Παπανικολάου                     | Τσιπράς                          |               1 |
| Παπανικολάου                     | Αλεξίου                          |               1 |
| Παπανικολάου                     | Μητσοτάκης                       |               1 |
| Παπανικολάου                     | Αντωνίου                         |               1 |
| Παπανικολάου                     | Αντωνίου                         |               1 |
| Παπανικολάου                     | Καραμανλή                        |               1 |
| Παπανικολάου                     | Παπαδάκη                         |               1 |
| Παπανικολάου                     | Βλάχου                           |               1 |
| Παπανικολάου                     | Νικολάου                         |               2 |
| Παπανικολάου                     | Νικολάου                         |               2 |
| Παπανικολάου                     | Καρρά                            |               2 |
| Παπανικολάου                     | Νικολάου                         |               2 |
| Παπανικολάου                     | Λάμπρου                          |               2 |
| Παπανικολάου                     | Δημόπουλος                       |               2 |
| Παπανικολάου                     | Μητσοτάκης                       |               2 |
| Παπανικολάου                     | Δημητρίου                        |               3 |
| Παπανικολάου                     | Πολίτη                           |               3 |
| Παπαντωνίου                      | Βλάχου                           |               1 |
| Παπαντωνίου                      | Ιωαννίδης                        |               1 |
| Παπαντωνίου                      | Παπανδρέου                       |               1 |
| Παπαντωνίου                      | Παπανδρέου                       |               1 |
| Παπαντωνίου                      | Καραμανλή                        |               1 |
| Παπαντωνίου                      | Καραμπίνη                        |               1 |
| Παπαντωνίου                      | Δημητρίου                        |               1 |
| Παπαντωνίου                      | Παπαγεωργίου                     |               1 |
| Παπαντωνίου                      | Δημόπουλος                       |               2 |
| Παπαντωνίου                      | Δημόπουλος                       |               2 |
| Παπαντωνίου                      | Λάμπρου                          |               2 |
| Παπαντωνίου                      | Νικολάου                         |               2 |
| Παπαντωνίου                      | Μαυρίδης                         |               2 |
| Παππά                            | Σπυρόπουλος                      |               1 |
| Παππά                            | Παπαδόπουλος                     |               1 |
| Παππά                            | Ζαφειρόπουλος                    |               1 |
| Παππά                            | Στεφανίδου                       |               1 |
| Παππά                            | Λάμπρου                          |               1 |
| Παππά                            | Σπυρόπουλος                      |               1 |
| Παππά                            | Δημητρίου                        |               2 |
| Παππά                            | Καραμανλή                        |               2 |
| Παππά                            | Παπαντωνίου                      |               2 |
| Παππά                            | Παπαγεωργίου                     |               3 |
| Παππά                            | Λάμπρου                          |               3 |
| Παππάς                           | Αναγνώστου                       |               1 |
| Παππάς                           | Καραμανλή                        |               1 |
| Παππάς                           | Ιωαννίδης                        |               2 |
| Παππάς                           | Δημόπουλος                       |               2 |
| Πατέρα                           | Αλεξίου                          |               1 |
| Πατέρα                           | Βασιλείου                        |               2 |
| Πατέρα                           | Δημητρίου                        |               3 |
| Πατέρας                          | Μητσοτάκης                       |               1 |
| Πατέρας                          | Ιωαννίδου                        |               1 |
| Πατέρας                          | Δημητρίου                        |               1 |
| Πατέρας                          | Καρρά                            |               2 |
| Πατέρας                          | Ιωαννίδης                        |               2 |
| Πατέρας                          | Δημητρίου                        |               3 |
| Πετρόπουλος                      | Σταυρόπουλος                     |               1 |
| Πετρόπουλος                      | Αναγνώστου                       |               1 |
| Πετρόπουλος                      | Ιωαννίδης                        |               2 |
| Πετροπούλου                      | Δημητρίου                        |               1 |
| Πετροπούλου                      | Τσιπράς                          |               1 |
| Πετροπούλου                      | Παπανικολάου                     |               1 |
| Πετροπούλου                      | Νικολάου                         |               2 |
| Πετροπούλου                      | Καραμανλή                        |               2 |
| Πετροπούλου                      | Δημόπουλος                       |               3 |
| Πολίτη                           | Δημητρίου                        |               1 |
| Πολίτη                           | Σταυρόπουλος                     |               1 |
| Πολίτη                           | Κωνσταντίνου                     |               2 |
| Πολίτη                           | Σιδέρης                          |               3 |
| Πολίτης                          | Παπαδόπουλος                     |               1 |
| Πολίτης                          | Παπακωνσταντίνου                 |               1 |
| Πολίτης                          | Παπαγεωργίου                     |               1 |
| Πολίτης                          | Δημόπουλος                       |               2 |
| Πολίτης                          | Σιδέρης                          |               2 |
| Σαββίδης                         | Μαυρίδου                         |               1 |
| Σαββίδης                         | Σπυρόπουλος                      |               2 |
| Σαββίδου                         | Σιδέρης                          |               1 |
| Σαββίδου                         | Βλάχου                           |               2 |
| Σαμαρά                           | Αντωνίου                         |               1 |
| Σαμαρά                           | Παπαγεωργίου                     |               1 |
| Σαμαρά                           | Μακρή                            |               1 |
| Σαμαρά                           | Δημόπουλος                       |               2 |
| Σαμαρά                           | Βλάχου                           |               2 |
| Σαμαράς                          | Νικολάου                         |               1 |
| Σαμαράς                          | Στεφανίδου                       |               1 |
| Σαμαράς                          | Πολίτη                           |               1 |
| Σαμαράς                          | Παπαντωνίου                      |               2 |
| Σαμαράς                          | Παπαγεωργίου                     |               3 |
| Σιδέρη                           | Καραμανλή                        |               1 |
| Σιδέρη                           | Χατζηγεωργίου                    |               1 |
| Σιδέρη                           | Λάμπρου                          |               2 |
| Σιδέρη                           | Αντωνίου                         |               2 |
| Σιδέρης                          | Βλάχου                           |               1 |
| Σιδέρης                          | Νικολάου                         |               1 |
| Σιδέρης                          | Μακρή                            |               1 |
| Σιδέρης                          | Νικολάου                         |               1 |
| Σιδέρης                          | Στεφανίδου                       |               1 |
| Σιδέρης                          | Βλάχου                           |               2 |
| Σιδέρης                          | Παπαντωνίου                      |               2 |
| Σιδέρης                          | Παπαγεωργίου                     |               3 |
| Σπυροπούλου                      | Αντωνίου                         |               1 |
| Σπυροπούλου                      | Σταυρόπουλος                     |               1 |
| Σπυροπούλου                      | Παπαδάκη                         |               1 |
| Σπυροπούλου                      | Παπαγεωργίου                     |               1 |
| Σπυροπούλου                      | Ιωαννίδης                        |               2 |
| Σπυροπούλου                      | Σιδέρης                          |               2 |
| Σπυροπούλου                      | Βλάχου                           |               3 |
