first_name	last_name	Surgeries_Performed
Νατάσα	Μαυρίδου	0
Αικατερίνη	Παπακωνσταντίνου	0
Νικολέτα	Αναγνώστου	0
Λουκάς	Πετρόπουλος	0
Στέφανος	Πατέρας	0
Νικόλας	Παππάς	0
Χάρης	Μαυρίδης	0
Κατερίνα	Δημοπούλου	0
Παναγιώτα	Ιωαννίδου	0
Λευτέρης	Κωνσταντίνου	0
Γιάννης	Καραμπίνης	0
Νατάσα	Καραμανλή	0
Νικόλας	Παπανδρέου	0
Γεωργία	Καραμανλή	0
Τασία	Καραγιάννη	0
Φωτεινή	Παπακωνσταντίνου	0
Φίλιππος	Παπαδάκης	0
Ανδρέας	Σαμαράς	0
Παναγιώτης	Μητσοτάκης	0
Άννα	Χατζηγεωργίου	0
Φώτης	Μακρής	0
Κατερίνα	Χατζηγεωργίου	0
Τασία	Παπακωνσταντίνου	0
Θοδωρής	Σιδέρης	0
Αντώνης	Σιδέρης	0
Αικατερίνη	Παπαϊωάννου	0
Ελισάβετ	Παπαδάκη	0
Μαρία	Σταυροπούλου	0
Βασιλική	Σιδέρη	0
Μαρία	Σπυροπούλου	0
Τασία	Μητσοτάκη	0
Ηλίας	Καραγιάννης	0
Θοδωρής	Πολίτης	0
Στέλιος	Καραγιάννης	0
Ελένη	Πολίτη	0
Ευάγγελος	Λάμπρου	0
Αλέξανδρος	Μανωλάς	0
Δέσποινα	Παππά	0
Ευαγγελία	Οικονόμου	0
Θοδωρής	Αναγνώστου	0
Νικόλας	Κωνσταντίνου	0
Λάμπρος	Παπανδρέου	0
Φανή	Τσιπρά	0
Στέλιος	Πολίτης	0
Ανδρέας	Παπαντωνίου	0
Ευαγγελία	Σαμαρά	0
Αλεξάνδρα	Βασιλείου	0
Αντώνης	Αναγνώστου	0
Κατερίνα	Δημητρίου	0
Νικολέτα	Αλεξίου	0
Ευάγγελος	Γεωργίου	0
Μαρίνα	Βλάχου	0
Ηλίας	Φωτόπουλος	0
Χρυσούλα	Δημοπούλου	0
Καλλιόπη	Μαυρίδου	0
Λουκάς	Οικονόμου	0
Μάριος	Παπανικολάου	0
Αναστασία	Γεωργίου	0
Λάζαρος	Γεωργίου	0
Λίτσα	Σιδέρη	0
Παναγιώτα	Δημοπούλου	0
Σάββας	Χατζηγεωργίου	0
Λάζαρος	Γεωργίου	0
Απόστολος	Παπαγεωργίου	0
Πέτρος	Παπαδόπουλος	0
Βασιλική	Μακρή	0
Νικολέτα	Κωνσταντίνου	0
Απόστολος	Μακρής	0
Τάσος	Σπυρόπουλος	0
Πέτρος	Οικονόμου	0
Μάκης	Παππάς	0
Γιώργος	Μητσοτάκης	0
Αικατερίνη	Αλεξίου	0
Χρυσούλα	Οικονόμου	0
Σπύρος	Μητσοτάκης	0
Αικατερίνη	Παπανικολάου	0
Παναγιώτης	Παπαδάκης	0
Θανάσης	Παπακωνσταντίνου	0
Χρυσούλα	Καραβία	0
Λαμπρινή	Σαββίδου	0
Ευαγγελία	Πολίτη	0
Μιχάλης	Παπαδάκης	0
Χάρης	Παπακωνσταντίνου	0
Φώτης	Σταυρόπουλος	0
Αναστασία	Ιωαννίδου	0
Ελένη	Αντωνίου	0
Όλγα	Βλάχου	0
Ντίνα	Τσιπρά	0
Λουκάς	Δημητρίου	0
Σωτήρης	Νικολάου	0
Λίτσα	Σταυροπούλου	0
Φώτης	Δημόπουλος	0
Παρασκευή	Γεωργίου	0
Ευάγγελος	Στεφανίδης	0
Δημήτρης	Γεωργίου	0
Χρυσούλα	Παπαντωνίου	0
Γιώργος	Πατέρας	0
Σωτήρης	Δημόπουλος	0
Νικόλας	Καραμπίνης	0
Λάμπρος	Αντωνίου	0
Χρυσούλα	Στεφανίδου	0
Ηλίας	Παπαντωνίου	0
Χρυσούλα	Καραμανλή	0
Άρης	Καραμπίνης	0
Ασημίνα	Παπαντωνίου	0
Λαμπρινή	Μανωλά	0
Νατάσα	Καραβία	0
Γρηγόρης	Οικονόμου	0
Στέλλα	Καραμπίνη	0
Όλγα	Χατζηγεωργίου	0
Ζωή	Παπαδοπούλου	0
Χαρά	Μαυρίδου	0
Σπύρος	Δημόπουλος	0
Στέλλα	Ζαφειροπούλου	0
Λουκάς	Βλάχος	0
Ανδρέας	Παπαδόπουλος	0
Στέφανος	Παπαντωνίου	0
Λάζαρος	Πετρόπουλος	0
Αντώνης	Λάμπρου	0
Γιάννης	Παπανδρέου	0
Ζωή	Παπαντωνίου	0
Ορέστης	Καραγιάννης	0
Παναγιώτης	Στεφανίδης	0
Τασία	Κωνσταντίνου	0
Πόπη	Παπανδρέου	0
Δήμητρα	Βλάχου	0
Μαρίνα	Ιωαννίδου	0
Νικόλας	Σιδέρης	0
Παναγιώτης	Σαμαράς	0
Κατερίνα	Δημητρίου	0
Σωτήρης	Σταυρόπουλος	0
Ευαγγελία	Χατζηγεωργίου	0
Φωτεινή	Παππά	0
Απόστολος	Λάμπρου	0
Αναστασία	Σπυροπούλου	0
Νικολέτα	Παπαϊωάννου	0
Γεωργία	Καραμανλή	0
Φανή	Πολίτη	0
Αναστασία	Δημητρίου	0
Μαρία	Βλάχου	0
Χάρης	Νικολάου	0
Νικόλας	Καραβίας	0
Πόπη	Παπαδάκη	0
Μιχάλης	Οικονόμου	0
Αλέξανδρος	Δημόπουλος	0
Δήμητρα	Αναγνώστου	0
Λευτέρης	Βλάχος	0
Πέτρος	Μητσοτάκης	0
Σπύρος	Τσιπράς	0
Χρήστος	Παπαγεωργίου	0
Φίλιππος	Καραβίας	0
Θανάσης	Καραμανλής	0
Ελισάβετ	Παπανικολάου	0
Αγγελική	Αλεξίου	0
Πόπη	Νικολάου	0
Θανάσης	Παπαϊωάννου	0
Βασιλική	Αναγνώστου	0
Φώτης	Παπακωνσταντίνου	0
Στέλλα	Χατζηγεωργίου	0
Ηλίας	Παπαδόπουλος	0
Λάζαρος	Παπαγεωργίου	0
Ασημίνα	Στεφανίδου	0
Στέφανος	Νικολάου	0
Λάμπρος	Μητσοτάκης	0
Λουκάς	Μακρής	0
Σωτήρης	Αλεξίου	0
Ηλίας	Αντωνίου	0
Μάρκος	Παπανδρέου	0
Μάρκος	Παπαγεωργίου	0
Αλεξάνδρα	Αλεξίου	0
Χριστίνα	Σπυροπούλου	0
Ελισάβετ	Νικολάου	0
Τάσος	Πατέρας	0
Σπύρος	Αναγνώστου	0
Ελισάβετ	Καραμανλή	0
Ορέστης	Ζαφειρόπουλος	0
Άννα	Αντωνίου	0
Τασία	Στεφανίδου	0
Τάσος	Καραμανλής	0
Ασημίνα	Κουρή	0
Μάριος	Παπαδόπουλος	0
Ελένη	Δημοπούλου	0
Δημήτρης	Σαββίδης	0
Φώτης	Δημητρίου	0
Λίτσα	Σαμαρά	0
Λίτσα	Ιωαννίδου	0
Γεωργία	Παππά	0
Φίλιππος	Παπαδάκης	0
Λευτέρης	Κουρής	0
Μάκης	Ιωαννίδης	0
Μάρκος	Νικολάου	0
Χριστίνα	Φωτοπούλου	0
Λευτέρης	Παπαντωνίου	0
Άρης	Νικολάου	0
Στέφανος	Στεφανίδης	0
Φίλιππος	Παπαδόπουλος	0
Απόστολος	Μακρής	0
Θοδωρής	Φωτόπουλος	0
Θοδωρής	Καρράς	0
Γρηγόρης	Παπανδρέου	0
Κώστας	Ιωαννίδης	0
Στέλιος	Γεωργίου	0
Παρασκευή	Παπανικολάου	0
Ειρήνη	Πατέρα	0
Γεωργία	Καραβία	0
Φανή	Αντωνίου	0
Τάσος	Αναγνώστου	0
Ηλίας	Στεφανίδης	0
Παναγιώτα	Καρρά	0
Ασημίνα	Αναγνώστου	0
Κατερίνα	Καρρά	0
Φίλιππος	Παπανδρέου	0
Νικόλας	Παπανδρέου	0
Παναγιώτα	Καραμανλή	0
Γεωργία	Πετροπούλου	0
Ιωάννα	Τσιπρά	0
Τάσος	Δημητρίου	0
Νικολέτα	Καραβία	0
Ντίνα	Μαυρίδου	0
Σπυριδούλα	Παππά	0
Σοφία	Βασιλείου	0
Γιώργος	Λάμπρου	0
Θανάσης	Παπαδόπουλος	0
Ανδρέας	Σαμαράς	0
Μάρκος	Λάμπρου	0
Μάνος	Βλάχος	0
Όλγα	Σπυροπούλου	0
Άρης	Πολίτης	0
Αναστασία	Παπανικολάου	0
Λαμπρινή	Πετροπούλου	0
Μαρία	Δημητρίου	0
Λάμπρος	Παπανδρέου	0
Ελένη	Βλάχου	0
Αγγελική	Βλάχου	0
Μάριος	Καραγιάννης	0
Νικόλας	Δημόπουλος	0
Ελένη	Μακρή	0
Δημήτρης	Σιδέρης	0
Κατερίνα	Παπαδοπούλου	0
Φίλιππος	Παπανικολάου	0
Σπύρος	Παπανδρέου	0
Λάμπρος	Νικολάου	0
Πόπη	Μητσοτάκη	0
Γρηγόρης	Καρράς	0
Στέλλα	Μαυρίδου	0
Παναγιώτης	Δημητρίου	0
Νατάσα	Βασιλείου	0
Ανδρέας	Βασιλείου	0
